studyday,roomalias,Record_ID,Time,MDRO_Status__choice_Non_MDRO_,MDRO_Status__choice_Contact_,MDRO_Status__choice_Contact_Plus,MDRO_Status__choice_Droplet_,MDRO_Status__choice_Airborne_,MDRO_Status__choice_AFB_,Prior_Day_Room_Status__choice_No,Prior_Day_Room_Status__choice_Co,VAR13,Prior_Day_Room_Status__choice_Dr,Prior_Day_Room_Status__choice_Ai,Prior_Day_Room_Status__choice_AF,Prior_Day_Room_Status__choice_Un,Sample_Surface__choice_Table_,Sample_Surface__choice_Bedrail_,Sample_Surface__choice_Computer,Sample_Surface__choice_Toilet_ar,Sample_Surface__choice_Door_hand,Sample_Surface__choice_Composit,VAR24,VAR25,Sample_Surface__choice_Ventilato,Sample_Surface__choice_Sink_Area,Table_Sample_Label,Bedrail_Sample_Label,Computer_area_and_cart_Sample_La,Toilet_area_Sample_Label,Door_Handle_Sample_Label,Composite_Zone_1_Near_Patient_Sa,Composite_Zone_2_HCW_Sample_Labe,Composite_Zone_3_Toilet_Sample_L,Ventilator_Sample_Label,Sink_Sample_Label,Comments,Complete_
22,,349,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,U - Z1 - 320,,,,,BLANK FOR LAB,Complete
44,,723,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,,,,,,U - Z2 - 655,,,,BLANK FOR LAB,Complete
34,,556,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,U - Z1 - 511,,,,,BLANK FOR LAB,Complete
55,,916,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,,,,,,U - Z2 - 848,,,,BLANK FOR LAB,Complete
39,,635,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,,,,,,U - Z2 - 581,,,,BLANK FOR LAB,Complete
46,,753,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,U - Z1 - 700,,,,,BLANK FOR LAB,Complete
35,,577,11:43:00.000,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,U - Z3 - 523,,,,,BLANK FOR LAB,Complete
22,,358,14:30:00.000,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,U - Z1 - 328,,,,,BLANK FOR LAB,Complete
27,,435,10:38:00.000,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,,,,,,,U - Z3 - 400,,,BLANK FOR LAB,Complete
33,,534,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,,,,,,U - Z2 - 491,,,,BLANK FOR LAB,Complete
