tick,occupancy,anyCP,CDIFF
1,20,4,1
2,20,4,2
3,20,0,3
4,20,4,2
5,20,4,0
6,19,3,2
7,19,3,0
8,17,0,0
9,16,0,0
10,19,4,0
11,19,3,0
12,20,3,0
13,20,4,0
14,20,3,0
15,20,3,0
16,20,2,0
17,18,2,0
18,19,2,0
19,20,0,0
20,18,3,0
21,13,3,0
22,17,2,0
23,18,3,1
24,20,1,3
25,20,3,1
26,20,2,1
27,20,3,1
28,18,4,1
29,20,3,1
30,19,0,1
31,20,2,0
32,16,2,0
33,17,4,0
34,17,1,0
35,20,1,0
36,19,0,0
37,20,1,0
38,16,0,0
39,15,1,0
40,18,0,0
41,16,1,0
42,19,1,0
43,17,0,0
44,17,4,0
45,15,0,0
46,17,6,0
47,18,0,0
48,20,1,0
49,20,1,0
50,20,1,0
51,20,1,0
52,19,0,0
53,20,1,0
54,20,0,0
55,20,0,0
56,18,1,0
