"run","all_cause_isolation","susceptibility","handHygieneIntervention","transferFractionRandom","importationSurge","isolateOnSuspicion","decayRate","extra_samples","randomSeed","ppeIsolationAdherenceProb","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","postVisitCleaning","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","ppeEfficacy","surveillanceSpecificity","decayRandom"
16,0.2,0.0045,0.0,1,0.0,0,0.25918074790388346,15,-808806246,0.6,0.8,"false",0,0.1402560577262193,0,0.5,"false",0.95,"false",0.9,0.7,1
32,0.2,0.0045,0.0,1,0.0,0,0.4092511225026101,31,-808684852,0.6,0.8,"false",0,0.4542129801120609,0,0.5,"false",0.95,"false",0.9,0.7,1
48,0.2,0.0045,0.0,1,0.0,0,0.979177670320496,47,-808455868,0.6,0.8,"false",0,0.8394240769557655,0,0.5,"false",0.95,"false",0.9,0.7,1
64,0.2,0.0045,0.0,1,0.0,0,0.32207218650728464,63,-808269629,0.6,0.8,"false",0,0.6692100218497217,0,0.5,"false",0.95,"false",0.9,0.7,1
80,0.2,0.0045,0.0,1,0.0,0,0.5109040471725166,79,-808045883,0.6,0.8,"false",0,0.0967780111823231,0,0.5,"false",0.95,"false",0.9,0.7,1
96,0.2,0.0045,0.0,1,0.0,0,0.1730449851602316,95,-807876358,0.6,0.8,"false",0,0.5247741001658142,0,0.5,"false",0.95,"false",0.9,0.7,1
112,0.2,0.0045,0.0,1,0.0,0,0.22025350597687066,111,-807626959,0.6,0.8,"false",0,0.7384665643330663,0,0.5,"false",0.95,"false",0.9,0.7,1
128,0.2,0.0045,0.0,1,0.0,0,0.8722239502239972,127,-807352033,0.6,0.8,"false",0,0.7332691790070385,0,0.5,"false",0.95,"false",0.9,0.7,1
144,0.2,0.0045,0.0,1,0.0,0,0.5199041264131665,143,-807174722,0.6,0.8,"false",0,0.7487920178100467,0,0.5,"false",0.95,"false",0.9,0.7,1
160,0.2,0.0045,0.0,1,0.0,0,0.3984155885409564,159,-806955190,0.6,0.8,"false",0,0.7513855074066669,0,0.5,"false",0.95,"false",0.9,0.7,1
176,0.2,0.0045,0.0,1,0.0,0,0.4352166245225817,175,-806731580,0.6,0.8,"false",0,0.25317931384779513,0,0.5,"false",0.95,"false",0.9,0.7,1
192,0.2,0.0045,0.0,1,0.0,0,0.44265299290418625,191,-806566871,0.6,0.8,"false",0,0.6156561188399792,0,0.5,"false",0.95,"false",0.9,0.7,1
208,0.2,0.0045,0.0,1,0.0,0,0.7064739766065031,207,-806342927,0.6,0.8,"false",0,0.7596326982602477,0,0.5,"false",0.95,"false",0.9,0.7,1
224,0.2,0.0045,0.0,1,0.0,0,0.34585259505547583,223,-806155589,0.6,0.8,"false",0,0.019426698796451092,0,0.5,"false",0.95,"false",0.9,0.7,1
240,0.2,0.0045,0.0,1,0.0,0,0.35369707993231714,239,-806020937,0.6,0.8,"false",0,0.9794237732421607,0,0.5,"false",0.95,"false",0.9,0.7,1
256,0.2,0.0045,0.0,1,0.0,0,0.11029365425929427,255,-805766204,0.6,0.8,"false",0,0.08198147686198354,0,0.5,"false",0.95,"false",0.9,0.7,1
272,0.2,0.0045,0.0,1,0.0,0,0.7259968621656299,271,-805608158,0.6,0.8,"false",0,0.20360315311700106,0,0.5,"false",0.95,"false",0.9,0.7,1
288,0.2,0.0045,0.0,1,0.0,0,0.0012212363071739674,287,-805467674,0.6,0.8,"false",0,0.6825975615065545,0,0.5,"false",0.95,"false",0.9,0.7,1
304,0.2,0.0045,0.0,1,0.0,0,0.024260011035948992,303,-805200577,0.6,0.8,"false",0,0.508033606922254,0,0.5,"false",0.95,"false",0.9,0.7,1
320,0.2,0.0045,0.0,1,0.0,0,0.9797379728406668,319,-804942089,0.6,0.8,"false",0,0.11092838505282998,0,0.5,"false",0.95,"false",0.9,0.7,1
336,0.2,0.0045,0.0,1,0.0,0,0.7752333651296794,335,-804801959,0.6,0.8,"false",0,0.37825794448144734,0,0.5,"false",0.95,"false",0.9,0.7,1
352,0.2,0.0045,0.0,1,0.0,0,0.7449820295441896,351,-804632619,0.6,0.8,"false",0,0.8484580891672522,0,0.5,"false",0.95,"false",0.9,0.7,1
368,0.2,0.0045,0.0,1,0.0,0,0.17851145355962217,367,-804455418,0.6,0.8,"false",0,0.1226795339025557,0,0.5,"false",0.95,"false",0.9,0.7,1
